,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,7,0.0,0.48,0.03,0.96,0.07,0.01,0.38,0.36,0.24,0.45,0.0,0.23,0.64,0.66,0.83,0.81,0.45,0.16,0.62,0.63,0.66,0.64,0.45,0.31,0.45,0.0,0.46,0.0,0.06,0.15,0.19,0.49,0.17,0.6,0.46,0.32,0.3,0.64,0.28,0.36,0.28,0.29,0.46,0.88,0.81,0.91,0.8,0.46,0.57,0.0,0.03,0.0,0.33,0.25,0.34,0.35,0.09,0.06,0.07,0.07,0.9,0.04,0.16,0.17,0.5,0.53,0.28,0.82,0.02,0.32,0.5,0.01,0.83,0.78,0.26,0.76,0.52,0.06,0.32,0.46,0.48,0.51,0.41,0.52,0.6,0.59,0.44,0.53,0.31,0.0,0.0,0.11,0.43,0.67,0.69,0.52,0.12,0.02,0.08,0.0,0.02,9
1,7,0.0,0.6,0.01,0.97,0.06,0.02,0.37,0.4,0.24,0.31,0.0,0.17,0.55,0.78,0.94,0.72,0.36,0.13,0.4,0.5,0.41,0.39,0.09,0.0,0.67,0.12,0.19,0.0,0.07,0.16,0.27,0.37,0.05,0.71,0.6,0.29,0.5,0.37,0.23,0.27,0.2,0.22,0.56,0.86,0.88,0.84,0.78,0.42,0.44,0.0,0.03,0.0,0.28,0.21,0.36,0.4,0.06,0.04,0.06,0.06,0.92,0.03,0.23,0.27,0.66,0.65,0.52,0.84,0.05,0.18,0.5,0.0,0.93,0.83,0.0,0.4,0.63,0.03,0.0,0.35,0.39,0.38,0.41,0.43,0.49,0.46,0.38,0.51,0.26,0.0,0.0,0.09,0.86,0.76,0.68,0.83,0.08,0.03,0.03,0.0,0.02,42
2,8,0.08,0.72,0.02,0.19,0.93,1.0,0.47,0.58,0.4,0.38,0.09,1.0,0.33,0.53,0.14,0.31,0.48,0.67,0.35,0.3,0.24,0.24,0.39,0.17,0.41,0.3,0.36,0.07,0.36,0.7,0.69,0.22,0.42,0.42,0.49,0.3,0.55,0.31,0.41,0.6,0.54,0.5,0.81,0.47,0.44,0.56,0.44,0.32,0.2,0.06,0.48,0.16,0.41,0.45,0.46,0.52,1.0,1.0,1.0,1.0,0.0,1.0,0.79,0.77,0.78,0.75,0.8,0.33,1.0,0.73,0.0,0.03,0.91,0.36,0.17,0.3,0.48,0.18,0.4,0.53,0.56,0.59,0.56,0.55,0.59,0.53,0.78,0.56,0.12,0.0,0.0,1.0,0.46,0.6,0.83,0.71,0.02,0.6,0.33,0.0,0.53,6
3,4,0.01,0.33,0.18,0.85,0.01,0.01,0.36,0.41,0.27,0.57,0.0,0.0,0.25,0.47,0.56,0.46,0.58,0.25,0.72,0.27,0.28,0.29,0.23,0.16,0.21,0.19,0.45,0.02,0.29,0.48,0.5,0.28,0.27,0.42,0.8,0.33,0.66,0.36,0.58,0.31,0.63,0.63,0.32,0.54,0.5,0.47,0.54,0.54,0.56,0.01,0.2,0.0,0.18,0.13,0.39,0.54,0.03,0.02,0.05,0.06,0.96,0.02,0.11,0.12,0.34,0.34,0.37,0.54,0.08,0.47,0.5,0.02,0.85,0.54,0.21,0.29,0.44,0.48,0.39,0.12,0.12,0.14,0.19,0.21,0.23,0.22,0.26,0.27,0.36,0.0,0.0,0.06,0.71,0.6,0.59,0.7,0.04,0.11,0.0,0.0,0.14,51
4,2,0.1,0.61,0.67,0.43,0.1,0.04,0.56,0.87,0.69,0.15,0.11,1.0,0.17,0.7,0.14,0.2,0.19,0.38,0.35,0.14,0.18,0.22,0.18,0.18,0.22,0.93,0.68,0.12,0.58,0.28,0.45,0.17,0.27,0.71,0.31,0.24,0.48,0.25,0.72,0.69,0.73,0.73,0.5,0.39,0.36,0.48,0.16,0.51,0.41,0.08,0.7,0.01,0.37,0.37,0.47,0.48,0.06,0.05,0.06,0.06,0.91,0.04,0.26,0.23,0.45,0.41,0.52,0.16,0.27,0.68,0.0,0.16,0.51,0.21,0.39,0.71,0.71,0.71,0.42,0.11,0.1,0.1,0.2,0.24,0.25,0.27,0.48,0.46,0.46,0.02,0.02,0.06,0.47,0.15,0.24,0.02,0.14,0.12,0.17,0.3,0.93,45
5,8,0.02,0.27,0.04,0.82,0.46,0.2,0.22,0.41,0.22,0.64,0.03,1.0,0.48,0.49,0.28,0.6,0.58,0.22,0.47,0.5,0.64,0.65,0.48,0.4,0.47,0.38,0.66,0.01,0.11,0.47,0.43,0.42,0.35,0.48,0.35,0.3,0.32,0.52,0.31,0.46,0.34,0.34,0.34,0.72,0.74,0.89,0.65,0.22,0.16,0.0,0.11,0.04,0.41,0.48,0.49,0.51,0.9,0.91,0.85,0.81,0.25,0.48,0.19,0.16,0.3,0.34,0.31,0.37,0.2,0.79,0.0,0.05,0.56,0.37,0.03,0.37,0.4,0.09,0.14,0.59,0.59,0.59,0.57,0.62,0.79,0.61,0.45,0.51,0.85,0.0,0.0,0.93,0.38,0.66,0.61,0.54,0.0,1.0,1.0,0.0,0.05,34
6,8,0.04,0.51,0.07,0.92,0.09,0.03,0.38,0.47,0.27,0.35,0.06,1.0,0.47,0.72,0.14,0.52,0.44,0.19,0.62,0.45,0.35,0.34,0.4,0.43,0.34,0.27,0.49,0.01,0.1,0.15,0.29,0.22,0.25,0.66,0.48,0.35,0.44,0.31,0.39,0.37,0.41,0.41,0.54,0.74,0.75,0.84,0.68,0.57,0.63,0.01,0.13,0.01,0.24,0.31,0.32,0.33,0.06,0.07,0.06,0.06,0.92,0.04,0.24,0.25,0.56,0.62,0.32,0.79,0.08,0.4,0.5,0.04,0.78,0.74,0.13,0.47,0.42,0.04,0.1,0.28,0.25,0.23,0.59,0.55,0.55,0.54,0.41,0.52,0.44,0.0,0.0,0.1,0.62,0.7,0.75,0.64,0.06,0.13,0.16,0.0,0.06,42
7,6,0.02,1.0,0.02,0.0,0.11,1.0,0.63,0.76,0.53,0.09,0.04,1.0,0.18,0.64,0.21,0.02,0.19,0.95,0.11,0.12,0.02,0.06,0.17,0.11,0.2,0.17,0.2,0.06,0.73,1.0,1.0,0.02,0.69,0.4,0.88,0.01,1.0,0.0,0.36,0.71,0.56,0.48,1.0,0.47,0.42,0.47,0.5,0.03,0.0,0.05,0.96,0.08,0.42,0.57,0.62,0.7,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.96,1.0,0.0,1.0,0.99,0.0,0.01,0.91,0.0,0.2,0.14,0.52,0.46,0.8,0.36,0.38,0.4,0.54,0.53,0.57,0.5,0.78,0.68,0.39,0.0,0.0,1.0,0.3,0.35,0.74,0.6,0.0,1.0,0.5,0.0,0.66,6
8,5,0.02,0.52,0.2,0.5,0.21,0.58,0.47,0.58,0.38,0.28,0.0,0.0,0.27,0.61,0.07,0.26,0.31,0.62,0.57,0.26,0.23,0.26,0.29,0.11,0.26,0.27,0.31,0.03,0.37,0.3,0.42,0.15,0.61,0.43,0.04,0.25,0.4,0.3,0.68,0.37,0.7,0.71,0.59,0.49,0.45,0.48,0.46,0.2,0.31,0.01,0.26,0.01,0.54,0.49,0.51,0.56,0.28,0.23,0.22,0.22,0.64,0.19,0.44,0.4,0.56,0.54,0.59,0.4,0.45,0.56,0.0,0.04,0.58,0.42,0.2,0.25,0.56,0.6,0.51,0.16,0.14,0.13,0.32,0.33,0.37,0.34,0.55,0.36,0.19,0.02,0.02,0.22,0.42,0.37,0.52,0.43,0.06,0.08,0.07,0.0,0.43,6
9,3,0.0,0.56,0.0,0.99,0.01,0.01,0.41,0.5,0.32,0.3,0.0,0.0,0.42,0.72,0.25,0.57,0.35,0.13,0.42,0.39,0.34,0.32,0.13,0.02,0.08,1.0,0.22,0.0,0.09,0.14,0.25,0.31,0.24,0.6,0.35,0.38,0.42,0.38,0.56,0.37,0.42,0.49,0.47,0.75,0.76,0.79,0.79,0.74,0.81,0.0,0.17,0.0,0.16,0.22,0.4,0.34,0.02,0.03,0.05,0.04,0.93,0.0,0.15,0.16,0.53,0.56,0.36,0.79,0.05,0.48,0.5,0.03,0.45,0.76,0.19,1.0,0.67,0.08,1.0,0.26,0.26,0.26,0.41,0.44,0.47,0.47,0.29,0.5,0.24,0.0,0.0,0.06,0.79,0.67,0.83,0.78,0.13,0.02,0.01,0.0,0.04,23
