,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,235,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
1,673,4,1,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529,1029,4109,5138
2,440,1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,1005,5187,6192
3,197,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923
4,699,4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,243,5080,5323
5,584,3,1,8,0,1,1,2,0.7525,0.710246,0.654167,0.129354,1233,5780,7013
6,299,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894
7,717,4,1,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,212,4373,4585
8,155,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342
9,660,4,1,10,0,0,0,1,0.464167,0.456429,0.51,0.166054,2132,4692,6824
10,548,3,1,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529,1421,4110,5531
11,139,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575
12,330,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
13,52,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107
14,653,4,1,10,0,0,0,1,0.521667,0.508204,0.640417,0.278612,2080,4559,6639
15,697,4,1,11,0,2,1,2,0.291667,0.281558,0.786667,0.237562,123,3836,3959
16,336,4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940
17,170,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744
18,663,4,1,10,0,3,1,1,0.5875,0.558721,0.63625,0.0727792,795,6898,7693
19,63,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944
20,218,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294
21,16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204
22,200,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541
23,153,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968
24,604,3,1,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,1483,3772,5255
25,725,1,1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726,440,573,1013
26,424,1,1,2,0,2,1,1,0.359167,0.353525,0.395833,0.193417,229,4134,4363
27,302,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570,627
28,602,3,1,8,0,5,1,2,0.7025,0.6471,0.615,0.0721458,1325,6257,7582
29,407,1,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,192,1977,2169
30,351,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739
31,520,2,1,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,2494,5147,7641
32,562,3,1,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,1920,4111,6031
33,598,3,1,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979,1026,5504,6530
34,715,4,1,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635,767,4280,5047
35,247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
36,269,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630
37,94,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115
38,161,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586
39,106,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795
